district,period,as_on_date,fy,acp_target_achievement__acp_agri_achievement,acp_target_achievement__acp_agri_pct,acp_target_achievement__acp_agri_target,acp_target_achievement__acp_msme_achievement,acp_target_achievement__acp_msme_pct,acp_target_achievement__acp_msme_target,acp_target_achievement__acp_other_psa_achievement,acp_target_achievement__acp_other_psa_pct,acp_target_achievement__acp_other_psa_target,acp_target_achievement__acp_total_achievement,acp_target_achievement__acp_total_pct,acp_target_achievement__acp_total_target,atm_network__atm_rural,atm_network__atm_rural_growth_abs,atm_network__atm_rural_growth_pct,atm_network__atm_rural_prev_fy,atm_network__atm_rural_prev_q,atm_network__atm_semi_urban,atm_network__atm_semi_urban_growth_abs,atm_network__atm_semi_urban_growth_pct,atm_network__atm_semi_urban_prev_fy,atm_network__atm_semi_urban_prev_q,atm_network__atm_total_growth_abs,atm_network__atm_total_growth_pct,atm_network__atm_total_prev_fy,atm_network__atm_total_prev_q,atm_network__atm_urban,atm_network__atm_urban_growth_abs,atm_network__atm_urban_growth_pct,atm_network__atm_urban_prev_fy,atm_network__atm_urban_prev_q,atm_network__total_atm,branch_network__branch_rural,branch_network__branch_rural_growth_abs,branch_network__branch_rural_growth_pct,branch_network__branch_rural_prev_fy,branch_network__branch_rural_prev_q,branch_network__branch_semi_urban,branch_network__branch_semi_urban_growth_abs,branch_network__branch_semi_urban_growth_pct,branch_network__branch_semi_urban_prev_fy,branch_network__branch_semi_urban_prev_q,branch_network__branch_total_growth_abs,branch_network__branch_total_growth_pct,branch_network__branch_total_prev_fy,branch_network__branch_total_prev_q,branch_network__branch_urban,branch_network__branch_urban_growth_abs,branch_network__branch_urban_growth_pct,branch_network__branch_urban_prev_fy,branch_network__branch_urban_prev_q,branch_network__total_branch,credit_deposit_ratio__advances_growth_abs,credit_deposit_ratio__advances_growth_pct,credit_deposit_ratio__advances_prev_fy,credit_deposit_ratio__advances_prev_quarter,credit_deposit_ratio__cd_ratio_benchmark,credit_deposit_ratio__cd_ratio_prev_fy,credit_deposit_ratio__cd_ratio_prev_quarter,credit_deposit_ratio__deposits_growth_abs,credit_deposit_ratio__deposits_growth_pct,credit_deposit_ratio__deposits_prev_fy,credit_deposit_ratio__deposits_prev_quarter,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Kondagaon,September 2024,30-09-2024,2024-25,330.38,67.6066,488.68,128.68,51.1691,251.48,20.7,51.8797,39.9,479.76,61.503,780.06,10,,,9,4,36,,,36,33,,,47,39,2,,,2,2,48,28,,,26,26,27,,,26,26,,,53,53,1,,,1,1,56,200.16,13.9972,1430,1436.34,40,58.2779,69.3439,-96.59,-3.9364,2453.76,2071.33,69.1575,1630.16,2357.17
Korba,September 2024,30-09-2024,2024-25,246.37,34.6853,710.3,1182.96,60.7363,1947.7,51.72,29.9687,172.58,1481.05,52.3232,2830.58,23,,,22,22,21,,,23,24,,,176,174,126,,,131,128,170,44,,,44,43,28,,,27,27,,,131,130,62,,,60,60,134,406.93,5.6053,7259.79,6746.29,40,61.135,58.5381,446.21,3.7576,11875.01,11524.61,62.2237,7666.72,12321.22
Korea,September 2024,30-09-2024,2024-25,92.71,47.634,194.63,104.99,81.5076,128.81,7.55,30.5421,24.72,205.25,58.9528,348.16,4,,,3,2,40,,,39,38,,,44,41,1,,,2,1,45,16,,,14,14,21,,,22,22,,,37,37,1,,,1,1,38,-26.22,-1.4015,1870.82,691.9,40,81.6506,31.9686,34.34,1.4987,2291.25,2164.31,79.3175,1844.6,2325.59
Mahasamund,September 2024,30-09-2024,2024-25,1150,45.8813,2506.47,326.13,69.323,470.45,23.45,31.6763,74.03,1499.58,49.1512,3050.95,36,,,33,31,66,,,65,63,,,98,98,0,,,0,4,102,53,,,52,52,71,,,71,71,,,124,124,1,,,1,1,125,611.77,15.9032,3846.83,3883.21,40,65.938,88.2925,-706.47,-12.1095,5834.01,4398.12,86.954,4458.6,5127.54
Manendragarh-Chirmiri-Bharatpur,September 2024,30-09-2024,2024-25,138.97,59.8544,232.18,159.79,78.3784,203.87,6.28,26.3976,23.79,305.04,66.3361,459.84,10,,,8,8,25,,,26,26,,,36,35,1,,,2,1,36,24,,,26,26,29,,,28,28,,,55,55,1,,,1,1,54,66.88,5.7851,1156.08,1175.17,40,30.2417,30.6636,-174.08,-4.5537,3822.8,3832.46,33.5175,1222.96,3648.72
Mohla-Manpur-Ambagarh Chowki,September 2024,30-09-2024,2024-25,165.33,73.6666,224.43,23.41,69.4247,33.72,14.54,32.2968,45.02,203.28,67.0515,303.17,15,,,15,15,1,,,1,1,,,17,17,1,,,1,1,17,30,,,29,28,1,,,1,1,,,31,30,1,,,1,1,32,137.77,43.936,313.57,487.42,40,26.0832,43.5955,-119.84,-9.9685,1202.19,1118.05,41.7,451.34,1082.35
Mungeli,September 2024,30-09-2024,2024-25,363.49,31.8544,1141.1,147.26,63.7572,230.97,13.69,35.8847,38.15,524.44,37.1885,1410.22,10,,,9,5,32,,,31,30,,,42,43,2,,,2,8,44,23,,,23,23,29,,,28,28,,,52,52,1,,,1,1,53,241.03,18.1361,1329.01,1416.06,40,50.352,68.164,-330.6,-12.5254,2639.44,2077.43,68.0012,1570.04,2308.84
Narayanpur,September 2024,30-09-2024,2024-25,50.57,40.7035,124.24,23.63,44.4424,53.17,4.83,25.7188,18.78,79.03,40.2824,196.19,1,,,1,1,19,,,20,19,,,21,21,0,,,0,1,20,7,,,7,7,13,,,13,13,,,20,20,0,,,0,0,20,48.2,12.715,379.08,365.74,40,46.9647,47.4365,0.35,0.0434,807.16,771.01,52.9133,427.28,807.51
Raigarh,September 2024,30-09-2024,2024-25,565.25,42.3939,1333.33,1732.81,70.2068,2468.15,44.09,33.0758,133.3,2342.15,59.5243,3934.78,31,,,31,30,39,,,40,39,,,162,160,89,,,91,91,159,65,,,65,64,27,,,26,26,,,145,141,56,,,54,51,148,1083.38,13.5433,7999.4,7408.25,40,75.8397,78.185,23.93,0.2269,10547.78,9475.28,85.9159,9082.78,10571.71
Raipur,September 2024,30-09-2024,2024-25,3238.37,83.7002,3869.01,17683.93,72.6092,24354.93,2103.28,63.2375,3326,23025.58,72.9814,31549.94,89,,,87,86,64,,,64,53,,,794,785,626,,,643,646,779,105,,,103,102,66,,,66,65,,,530,520,365,,,361,353,536,7374.3,7.7592,95039.92,86553.88,40,107.7397,112.1389,-3508.66,-3.9775,88212.54,77184.54,120.9085,102414.22,84703.88
Rajnandgaon,September 2024,30-09-2024,2024-25,1127.23,41.087,2743.52,679.89,67.991,999.97,93.99,29.7418,316.02,1901.11,46.831,4059.51,22,,,22,19,16,,,16,19,,,132,124,94,,,94,86,132,52,,,51,50,22,,,22,22,,,126,123,53,,,53,51,127,677.14,14.5778,4645.01,4577.48,40,54.8001,63.6411,-573.02,-6.7603,8476.28,7192.65,67.3412,5322.15,7903.26
Sakti,September 2024,30-09-2024,2024-25,368.38,36.9059,998.16,286.77,67.6536,423.88,22.61,26.4166,85.59,677.76,44.9553,1507.63,18,,,20,17,22,,,22,22,,,42,41,0,,,0,2,40,33,,,32,32,21,,,21,21,,,53,53,0,,,0,0,54,247.13,18.1105,1364.57,1441.11,40,41.0676,55.1537,-330.5,-9.9466,3322.74,2612.9,53.8627,1611.7,2992.24
Sarangarh-Bilaigarh,September 2024,30-09-2024,2024-25,352.66,57.9699,608.35,128.99,80.8867,159.47,5.65,28.8855,19.56,487.3,61.8888,787.38,16,,,15,14,29,,,29,28,,,45,43,1,,,1,1,46,32,,,31,31,19,,,18,17,,,49,48,0,,,0,0,51,216.52,19.3289,1120.19,1191.99,40,44.9298,58.4243,-237.54,-9.5275,2493.2,2040.23,59.2603,1336.71,2255.66
Sukma,September 2024,30-09-2024,2024-25,65.58,49.5879,132.25,26,60.4651,43,2.46,28.7719,8.55,94.04,51.1643,183.8,7,,,7,8,9,,,9,6,,,16,15,0,,,0,1,16,27,,,27,26,6,,,6,6,,,33,32,0,,,0,0,33,75.35,15.7189,479.36,498.79,40,41.6346,45.2024,59.52,5.1696,1151.35,1103.46,45.8109,554.71,1210.87
Surajpur,September 2024,30-09-2024,2024-25,319.23,48.3469,660.29,266.66,71.6424,372.21,11.18,19.046,58.7,597.07,54.7168,1091.2,19,,,16,14,36,,,38,38,,,56,55,2,,,2,3,57,61,,,59,59,26,,,26,26,,,88,88,3,,,3,3,90,210.08,11.866,1770.43,1786.02,40,35.5827,41.489,16.05,0.3226,4975.53,4304.8,39.677,1980.51,4991.58
Surguja,September 2024,30-09-2024,2024-25,462.01,50.7603,910.18,855.53,74.9958,1140.77,47,43.4783,108.1,1364.54,63.2009,2159.05,28,,,28,26,3,,,2,4,,,111,109,82,,,81,79,113,57,,,57,57,3,,,3,3,,,104,104,44,,,44,44,104,300.81,7.5394,3989.83,3758.12,40,46.0077,55.5275,-942.04,-10.8629,8672.09,6768.03,55.506,4290.64,7730.05
Balod,December 2024,31-12-2024,2024-25,804.18,42.2983,1901.21,329.92,82.4821,399.99,35.1352,36.2293,96.98,1169.2352,48.7551,2398.18,42,4,10.5263,38,41,48,0,0,48,50,4,4.5977,87,92,1,0,0,1,1,91,74,5,7.2464,69,69,37,0,0,37,37,5,4.6729,107,107,1,0,0,1,1,112,274.66,13.9063,1975.08,2058.84,60,34.3983,40.1039,-31.01,-0.5401,5741.8,5133.77,39.3945,2249.74,5710.79
Baloda Bazar,December 2024,31-12-2024,2024-25,1572.46,55.7057,2822.8,528.51,77.6832,680.34,81.2682,62.6055,129.81,2182.2382,60.0679,3632.95,25,2,8.6957,23,24,70,1,1.4493,69,70,3,3.1915,94,96,2,0,0,2,2,97,49,0,0,49,49,63,-1,-1.5625,64,64,-1,-0.885,113,113,0,0,,0,0,112,407.48,11.7184,3477.27,3513.44,60,54.9519,63.1716,31.37,0.4957,6327.84,5561.74,61.0886,3884.75,6359.21
Balrampur,December 2024,31-12-2024,2024-25,271.46,50.2146,540.6,224.61,127.2145,176.56,19.2805,40.7967,47.26,515.3505,67.4172,764.42,25,6,31.5789,19,18,18,0,0,18,17,5,12.8205,39,37,1,-1,-50,2,2,44,61,1,1.6667,60,59,12,0,0,12,12,1,1.3699,73,72,1,0,0,1,1,74,188.72,16.6755,1131.72,1149.81,60,37.5065,44.4369,108.25,3.5875,3017.4,2587.51,42.2453,1320.44,3125.65
Bastar,December 2024,31-12-2024,2024-25,590.64,51.6935,1142.58,669.62,85.3443,784.61,44.323,58.3275,75.99,1304.583,65.1256,2003.18,37,3,8.8235,34,25,3,0,0,3,4,5,4.065,123,112,88,2,2.3256,86,83,128,74,0,0,74,74,4,0,0,4,4,1,0.8547,117,117,40,1,2.5641,39,39,118,511.44,12.9035,3963.58,3640.09,60,61.7689,58.9719,318.71,4.9668,6416.79,6172.58,66.4393,4475.02,6735.5
Bemetara,December 2024,31-12-2024,2024-25,1201.21,39.9636,3005.76,254.52,95.4116,266.76,20.8852,43.3393,48.19,1476.6152,44.4669,3320.71,24,0,0,24,26,30,-2,-6.25,32,33,-2,-3.5088,57,60,1,0,0,1,1,55,60,6,11.1111,54,53,26,-1,-3.7037,27,26,5,6.0976,82,80,1,0,0,1,1,87,389.0,19.0712,2039.72,2240.63,60,44.2472,58.5174,-190.24,-4.1268,4609.83,3829,54.9535,2428.72,4419.59
Bijapur,December 2024,31-12-2024,2024-25,112.91,45.8536,246.24,38.13,110.1068,34.63,3.3528,12.4594,26.91,154.3928,50.1634,307.78,13,2,18.1818,11,9,11,0,0,11,11,2,9.0909,22,20,0,0,,0,0,24,39,1,2.6316,38,37,8,0,0,8,9,1,2.1739,46,46,0,0,,0,0,47,120.67,20.0372,602.23,608.42,60,51.8989,61.033,-24.95,-2.1501,1160.39,996.87,63.6669,722.9,1135.44
Bilaspur,December 2024,31-12-2024,2024-25,1325.82,54.5484,2430.54,3998.76,81.9284,4880.8,196.7248,53.2495,369.44,5521.3048,71.8847,7680.78,23,-6,-20.6897,29,28,33,-4,-10.8108,37,36,1,0.3155,317,323,262,11,4.3825,251,259,318,69,0,0,69,70,37,-3,-7.5,40,42,4,1.5444,259,257,157,7,4.6667,150,145,263,1169.46,6.8246,17136.05,16566.06,60,57.9292,59.1935,-518.26,-1.752,29581.04,27986.3,62.9861,18305.51,29062.78
Dantewada,December 2024,31-12-2024,2024-25,45.35,43.9907,103.09,86.09,75.964,113.33,10.6219,80.1045,13.26,142.0619,61.8521,229.68,9,1,12.5,8,6,41,-3,-6.8182,44,45,-2,-3.8462,52,51,0,0,,0,0,50,22,0,0,22,21,22,1,4.7619,21,22,1,2.3256,43,43,0,0,,0,0,44,488.55,19.3117,2529.81,2575.74,60,100.8813,103.7776,376.81,15.0261,2507.71,2481.98,104.6399,3018.36,2884.52
Dhamtari,December 2024,31-12-2024,2024-25,1360.51,80.8494,1682.77,588.92,103.1655,570.85,85.1597,78.6477,108.28,2034.5897,86.1421,2361.9,26,0,0,26,23,18,-2,-10,20,26,-2,-2.2472,89,94,43,0,0,43,45,87,55,1,1.8519,54,54,21,-1,-4.5455,22,22,-1,-0.885,113,113,36,-1,-2.7027,37,37,112,404.98,12.1203,3341.34,3306.24,60,56.4508,61.1084,-71.91,-1.2149,5919.03,5410.45,64.0712,3746.32,5847.12
Durg,December 2024,31-12-2024,2024-25,1726.59,64.0579,2695.36,5441.88,108.723,5005.27,227.5348,61.4162,370.48,7396.0048,91.6355,8071.11,52,2,4,50,50,35,2,6.0606,33,30,-2,-0.4357,459,464,370,-6,-1.5957,376,384,457,77,1,1.3158,76,76,40,0,0,40,40,0,0,303,301,186,-1,-0.5348,187,185,303,1546.64,7.9527,19447.94,19258.65,60,57.4955,59.0712,981.11,2.9005,33825.16,32602.41,60.3184,20994.58,34806.27
Gariaband,December 2024,31-12-2024,2024-25,522.98,70.435,742.5,130.07,76.5118,170,13.3703,14.3705,93.04,666.4203,66.2749,1005.54,25,0,0,25,25,25,0,0,25,24,0,0,51,50,1,0,0,1,1,51,38,2,5.5556,36,34,28,2,7.6923,26,26,4,6.4516,62,60,0,0,,0,0,66,190.72,15.411,1237.56,1249.05,60,49.7132,61.0239,-35.31,-1.4184,2489.4,2046.82,58.2,1428.28,2454.09
Gaurela-Pendra-Marwahi,December 2024,31-12-2024,2024-25,174.77,51.5972,338.72,138.97,78.5363,176.95,13.8125,47.7609,28.92,327.5525,60.1466,544.59,1,0,0,1,1,25,1,4.1667,24,22,1,3.8462,26,24,1,0,0,1,1,27,9,0,0,9,9,19,3,18.75,16,17,3,12,25,26,0,0,,0,0,28,112,15.5556,720,691.28,60,49.1152,53.259,36.12,2.4639,1465.94,1297.96,55.3906,832,1502.06
Janjgir-Champa,December 2024,31-12-2024,2024-25,699.04,47.0544,1485.6,681.22,91.935,740.98,59.4287,39.3203,151.14,1439.6887,60.5491,2377.72,36,1,2.8571,35,37,79,1,1.2821,78,77,2,1.7391,115,115,2,0,0,2,1,117,60,1,1.6949,59,58,58,0,0,58,58,1,0.8403,119,118,2,0,0,2,2,120,451.16,13.0488,3457.48,3412.48,60,48.3659,53.9085,-144.45,-2.0207,7148.59,6330.13,55.8047,3908.64,7004.14
Jashpur,December 2024,31-12-2024,2024-25,322.52,54.1068,596.08,366.58,77.4503,473.31,29.6795,46.1651,64.29,718.7795,63.4023,1133.68,11,0,0,11,11,48,1,2.1277,47,47,1,1.5873,63,60,5,0,0,5,2,64,46,5,12.1951,41,42,43,0,0,43,43,5,5.814,86,86,2,0,0,2,1,91,259.04,12.868,2013.05,1830.62,60,46.2983,48.6263,135.58,3.1182,4348,3764.67,50.6758,2272.09,4483.58
Kabirdham,December 2024,31-12-2024,2024-25,1042.48,46.332,2250.02,352.23,79.9197,440.73,131.5918,66.38,198.24,1526.3018,52.8317,2888.99,18,0,0,18,18,52,0,0,52,55,0,0,71,74,1,0,0,1,1,71,46,3,6.9767,43,42,36,-2,-5.2632,38,38,1,1.2048,83,82,2,0,0,2,2,84,501.56,22.7434,2205.3,2433.66,60,62.7677,81.2786,4.69,0.1335,3513.43,2994.22,76.9405,2706.86,3518.12
Kanker,December 2024,31-12-2024,2024-25,702.86,43.3564,1621.12,322.98,73.8021,437.63,27.2921,47.622,57.31,1053.1322,49.7685,2116.06,28,0,0,28,28,48,-1,-2.0408,49,52,-1,-1.2821,78,81,1,0,0,1,1,77,61,0,0,61,61,40,1,2.5641,39,39,1,0.9901,101,101,1,0,0,1,1,102,319.18,13.3961,2382.63,2360.44,60,54.5357,59.5273,21.34,0.4884,4368.94,3965.31,61.5407,2701.81,4390.28
Khairagarh-Chhuikhadan-Gandai,December 2024,31-12-2024,2024-25,569.2,42.9355,1325.71,59.14,75.4722,78.36,71.29,65.8629,108.24,699.63,46.2623,1512.31,10,2,25,8,9,14,-1,-6.6667,15,15,1,4,25,26,2,0,0,2,2,26,21,0,0,21,21,16,0,0,16,16,0,0,39,39,2,0,0,2,2,39,206.74,27.2561,758.51,863.02,60,43.8161,56.9222,-39.55,-2.2846,1731.12,1516.14,57.0624,965.25,1691.57
Kondagaon,December 2024,31-12-2024,2024-25,387.67,78.3235,494.96,162.63,64.6178,251.68,27.7778,69.6185,39.9,578.0778,73.4963,786.54,10,1,11.1111,9,7,39,3,8.3333,36,35,4,8.5106,47,44,2,0,0,2,2,51,28,1,3.7037,27,27,27,0,0,27,27,1,1.8182,55,55,1,0,0,1,1,56,159.37,11.1448,1430,1444.17,60,58.2779,65.2874,23.64,0.9634,2453.76,2212.02,64.1548,1589.37,2477.4
Korba,December 2024,31-12-2024,2024-25,342.68,47.3937,723.05,1506.23,77.3139,1948.2,79.8417,46.1833,172.88,1928.7517,67.8152,2844.13,26,4,18.1818,22,23,22,-1,-4.3478,23,22,-3,-1.7045,176,174,125,-6,-4.5802,131,129,173,44,0,0,44,43,28,0,0,28,28,1,0.7519,133,132,62,1,1.6393,61,61,134,822.94,11.3356,7259.79,7023.7,60,61.135,61.4841,457.98,3.8567,11875.01,11423.6,65.5375,8082.73,12332.99
Korea,December 2024,31-12-2024,2024-25,110.61,56.8309,194.63,141.63,109.9526,128.81,13.3766,54.1126,24.72,265.6166,76.2915,348.16,4,1,33.3333,3,3,40,1,2.5641,39,39,1,2.2727,44,44,1,-1,-50,2,2,45,14,0,0,14,14,20,-2,-9.0909,22,22,-2,-5.4054,37,37,1,0,0,1,1,35,-71.01,-3.7957,1870.82,1894.24,60,81.6506,88.0882,40.51,1.768,2291.25,2150.39,77.1868,1799.81,2331.76
Mahasamund,December 2024,31-12-2024,2024-25,1454.39,58.0254,2506.47,436.15,92.7091,470.45,43.1445,58.2797,74.03,1933.6845,63.3797,3050.95,39,6,18.1818,33,32,67,2,3.0769,65,66,8,8.1633,98,98,0,0,,0,0,106,59,7,13.4615,52,52,70,-2,-2.7778,72,72,5,4,125,125,1,0,0,1,1,130,556.74,14.4727,3846.83,3898.31,60,65.938,78.0369,-198.68,-3.4055,5834.01,4995.47,78.1422,4403.57,5635.33
Manendragarh-Chirmiri-Bharatpur,December 2024,31-12-2024,2024-25,175.45,75.5664,232.18,206.53,101.3048,203.87,12.482,52.4672,23.79,394.462,85.7824,459.84,10,2,25,8,9,25,-1,-3.8462,26,26,0,0,36,37,1,-1,-50,2,2,36,26,0,0,26,26,29,1,3.5714,28,28,1,1.8182,55,55,1,0,0,1,1,56,106.96,9.252,1156.08,1154.02,60,30.2417,31.9788,-46,-1.2033,3822.8,3608.7,33.4421,1263.04,3776.8
Mohla-Manpur-Ambagarh Chowki,December 2024,31-12-2024,2024-25,186.29,83.0058,224.43,35.13,104.1815,33.72,39.5269,87.7984,45.02,260.9469,86.0728,303.17,15,0,0,15,17,1,0,0,1,1,0,0,17,18,1,0,0,1,0,17,30,1,3.4483,29,28,1,0,0,1,1,1,3.2258,31,30,1,0,0,1,1,32,97.58,31.119,313.57,356.05,60,26.0832,35.0553,-40.98,-3.4088,1202.19,1015.68,35.407,411.15,1161.21
Mungeli,December 2024,31-12-2024,2024-25,461.66,40.4575,1141.1,202.48,87.6651,230.97,18.7071,49.0357,38.15,682.8471,48.4213,1410.22,10,1,11.1111,9,6,32,1,3.2258,31,29,2,4.7619,42,43,2,0,0,2,8,44,23,0,0,23,23,28,0,0,28,28,0,0,52,52,1,0,0,1,1,52,244.7,18.4122,1329.01,1366.28,60,50.352,60.915,-129.8,-4.9177,2639.44,2242.93,62.7066,1573.71,2509.64
Narayanpur,December 2024,31-12-2024,2024-25,58.1,46.7643,124.24,31.38,59.0182,53.17,6.6937,35.6426,18.78,96.1737,49.0207,196.19,1,0,0,1,1,20,0,0,20,20,0,0,21,21,0,0,,0,0,21,7,0,0,7,7,14,1,7.6923,13,13,1,5,20,20,0,0,,0,0,21,48.58,12.8152,379.08,370.7,60,46.9647,47.9734,62.24,7.711,807.16,772.72,49.1902,427.66,869.4
Raigarh,December 2024,31-12-2024,2024-25,761.33,57.0999,1333.33,2132.62,86.4056,2468.15,67.177,50.3954,133.3,2961.127,75.2552,3934.78,31,0,0,31,30,39,-1,-2.5,40,39,-2,-1.2346,162,162,90,-1,-1.0989,91,93,160,65,0,0,65,64,28,1,3.7037,27,27,2,1.3605,147,145,56,1,1.8182,55,54,149,1395.39,17.4437,7999.4,7942.3,60,75.8397,80.5811,337.3,3.1978,10547.78,9856.28,86.3089,9394.79,10885.08
Raipur,December 2024,31-12-2024,2024-25,4281.69,110.6663,3869.01,22074.75,90.6377,24354.93,2726.7486,81.9828,3326,29083.1886,92.1814,31549.94,90,3,3.4483,87,87,60,-4,-6.25,64,67,0,0,794,784,644,1,0.1555,643,630,794,106,2,1.9231,104,104,67,0,0,67,67,12,2.2556,532,529,371,10,2.7701,361,358,544,13987.41,14.7174,95039.92,93178.72,60,107.7397,115.0963,2399.72,2.7204,88212.54,80957.19,120.3229,109027.33,90612.26
Rajnandgaon,December 2024,31-12-2024,2024-25,1351.21,49.251,2743.52,923.72,92.3748,999.97,183.0629,57.9276,316.02,2457.9929,60.549,4059.51,24,2,9.0909,22,20,17,1,6.25,16,19,2,1.5152,132,128,93,-1,-1.0638,94,89,134,54,3,5.8824,51,48,24,2,9.0909,22,22,3,2.3622,127,124,52,-2,-3.7037,54,54,130,742.71,15.9894,4645.01,4592.35,60,54.8001,56.7483,349.92,4.1282,8476.28,8092.49,61.0424,5387.72,8826.2
Sakti,December 2024,31-12-2024,2024-25,435.23,43.6032,998.16,365.33,86.1871,423.88,29.2393,34.1621,85.59,829.7993,55.04,1507.63,19,-1,-5,20,19,27,5,22.7273,22,24,4,9.5238,42,44,0,0,,0,1,46,33,1,3.125,32,32,22,1,4.7619,21,21,2,3.7736,53,53,0,0,,0,0,55,246.74,18.0819,1364.57,1416.21,60,41.0676,51.1027,-287.46,-8.6513,3322.74,2771.3,53.086,1611.31,3035.28
Sarangarh-Bilaigarh,December 2024,31-12-2024,2024-25,457.84,75.2593,608.35,165.23,103.612,159.47,14.7436,75.3763,19.56,637.8136,81.0045,787.38,14,-1,-6.6667,15,15,31,2,6.8966,29,28,1,2.2222,45,44,1,0,0,1,1,46,32,1,3.2258,31,31,19,1,5.5556,18,17,2,4.0816,49,48,0,0,,0,0,51,214.57,19.1548,1120.19,1152.27,60,44.9298,53.7246,-133.65,-5.3606,2493.2,2144.77,56.5684,1334.76,2359.55
Sukma,December 2024,31-12-2024,2024-25,73.46,55.5463,132.25,36.01,83.7442,43,5.7501,67.2525,8.55,115.2201,62.6878,183.8,7,0,0,7,7,8,-1,-11.1111,9,9,-1,-6.25,16,16,0,0,,0,0,15,27,0,0,27,26,6,0,0,6,6,0,0,33,32,0,0,,0,0,33,97.1,20.2562,479.36,471.2,60,41.6346,44.1161,49.08,4.2628,1151.35,1068.09,48.0211,576.46,1200.43
Surajpur,December 2024,31-12-2024,2024-25,393.7,59.6253,660.29,342.38,91.9857,372.21,25.2363,42.9919,58.7,761.3163,69.7687,1091.2,20,4,25,16,16,37,-1,-2.6316,38,40,3,5.3571,56,58,2,0,0,2,2,59,61,2,3.3898,59,59,26,0,0,26,26,2,2.2727,88,88,3,0,0,3,3,90,250.85,14.1689,1770.43,1778.02,60,35.5827,38.7459,226.14,4.545,4975.53,4588.93,38.8583,2021.28,5201.67
Surguja,December 2024,31-12-2024,2024-25,571.38,62.7766,910.18,1074.52,94.1925,1140.77,46.2041,42.742,108.1,1692.1041,78.3726,2159.05,28,0,0,28,26,3,1,50,2,2,3,2.7027,111,110,83,2,2.4691,81,82,114,57,0,0,57,57,3,0,0,3,3,-1,-0.9615,104,104,43,-1,-2.2727,44,44,103,410.11,10.2789,3989.83,3898.09,60,46.0077,50.1974,286.9,3.3083,8672.09,7765.52,49.112,4399.94,8958.99
Balod,March 2025,31-03-2025,2024-25,1013.42,53.3039,1901.21,411.36,102.8426,399.99,40.9,42.1736,96.98,1465.68,61.1163,2398.18,42,4,10.5263,38,42,46,-2,-4.1667,48,48,4,4.5977,87,91,1,0,0,1,1,91,74,5,7.2464,69,74,37,0,0,37,37,5,4.6729,107,112,1,0,0,1,1,112,236.24,11.961,1975.08,2249.73,40,34.3983,39.3944,220.88,3.8469,5741.8,5710.79,37.086,2211.32,5962.68
Baloda Bazar,March 2025,31-03-2025,2024-25,1910.08,67.6661,2822.8,630.04,92.6066,680.34,112.71,86.8269,129.81,2652.83,73.0214,3632.95,25,2,8.6957,23,25,74,5,7.2464,69,70,6,6.383,94,97,2,0,0,2,2,100,49,0,0,49,49,64,0,0,64,63,0,0,113,112,0,0,0,0,0,113,446.28,12.8342,3477.27,3884.75,40,54.9519,61.0886,509.32,8.0489,6327.84,6359.21,57.3857,3923.55,6837.16
Balrampur,March 2025,31-03-2025,2024-25,329.71,60.9896,540.6,290.15,164.3351,176.56,22.51,47.6301,47.26,642.37,84.0336,764.42,25,6,31.5789,19,25,19,1,5.5556,18,18,5,12.8205,39,44,1,-1,-50,2,1,44,61,1,1.6667,60,61,13,1,8.3333,12,12,2,2.7397,73,74,1,0,0,1,1,75,200.9,17.7517,1131.72,1320.44,40,37.5065,42.2453,420.19,13.9256,3017.4,3125.65,38.7661,1332.62,3437.59
Bastar,March 2025,31-03-2025,2024-25,747.13,65.3897,1142.58,790.97,100.8106,784.61,53.34,70.1934,75.99,1591.44,79.4457,2003.18,36,2,5.8824,34,37,3,0,0,3,3,-1,-0.813,123,128,83,-3,-3.4884,86,88,122,74,0,0,74,74,4,0,0,4,4,2,1.7094,117,118,41,2,5.1282,39,40,119,602.53,15.2017,3963.58,4475.06,40,61.7689,66.4399,1115.11,17.378,6416.79,6735.5,60.6236,4566.11,7531.9
Bemetara,March 2025,31-03-2025,2024-25,1480.68,49.2614,3005.76,301.25,112.9292,266.76,23.67,49.1181,48.19,1805.6,54.3739,3320.71,29,5,20.8333,24,24,27,-5,-15.625,32,30,0,0,57,55,1,0,0,1,1,57,60,6,11.1111,54,60,26,-1,-3.7037,27,26,5,6.0976,82,87,1,0,0,1,1,87,284.32,13.9392,2039.72,2428.71,40,44.2472,54.9533,335.66,7.2814,4609.83,4419.59,46.9931,2324.04,4945.49
Bijapur,March 2025,31-03-2025,2024-25,125.84,51.1046,246.24,50.29,145.2209,34.63,3.56,13.2293,26.91,179.69,58.3826,307.78,13,2,18.1818,11,13,11,0,0,11,11,2,9.0909,22,24,0,0,0,0,0,24,39,1,2.6316,38,39,9,1,12.5,8,8,2,4.3478,46,47,0,0,0,0,0,48,97.63,16.2114,602.23,722.9,40,51.8989,63.6669,167.83,14.4632,1160.39,1135.44,52.6916,699.86,1328.22
